internal_error_code,error_description,reason,failure_type,source,next_best_action,step,recoverable
BAD_REQUEST_PAYMENT_TIMED_OUT,Payment was not completed on time.,payment_timed_out,Technical,customer,,payment_authentication,
BAD_REQUEST_PAYMENT_CANCELLED_BY_USER,Payment processing cancelled by user,payment_cancelled,Business,customer,,payment_authentication,
BAD_REQUEST_PAYMENT_FAILED,Payment failed,payment_failed,Business,issuer,,payment_authorization,
BAD_REQUEST_PAYMENT_WALLET_INSUFFICIENT_BALANCE,Payment failed due to insufficient balance in wallet,insufficient_funds,Business,customer,,payment_authorization,
GATEWAY_ERROR_UNKNOWN_ERROR,Payment processing failed due to error at bank or wallet gateway,issuer_technical_error,Technical,issuer,,payment_authorization,
GATEWAY_ERROR_CALLBACK_EMPTY_INPUT,Payment processing failed due to error at bank or wallet gateway,issuer_technical_error,Technical,issuer,,payment_authorization,
GATEWAY_ERROR_FATAL_ERROR,Payment processing failed due to error at bank or wallet gateway,issuer_technical_error,Technical,issuer,,payment_initiation,
BAD_REQUEST_PAYMENT_OLA_MONEY_ACCOUNT_DOES_NOT_EXIST_FOR_NUMBER,Ola Money account does not exist for this number,invalid_user_details,Business,customer,,payment_eligibility check,
BAD_REQUEST_PAYMENT_DECLINED_3DSECURE_AUTH_FAILED,Payment processing failed due to 3dsecure or OTP authentication failure,incorrect_otp,Business,customer,,payment_authentication,
BAD_REQUEST_PAYMENT_WALLET_ACCOUNT_INACTIVE,Wallet account associated is inactive.,debit_instrument_inactive,Business,customer,,payment_eligibility check,
GATEWAY_ERROR_REQUEST_TIMEOUT,The gateway request to submit payment information timed out. Please submit your details again,payment_timed_out,Technical,issuer,,payment_authorization,
server_error_RUNTIME_ERROR,The server encountered an error. The incident has been reported to admins.,server_error,Technical,internal,,payment_initiation,
BAD_REQUEST_PAYMENT_WALLET_ACCOUNT_ALREADY_EXIST_WITH_EMAIL,Provided email is already associated with an existing wallet account,invalid_email,Business,customer,,payment_initiation,
BAD_REQUEST_PAYMENT_DECLINED_BY_BANK,Payment declined by bank,payment_declined,Business,issuer,,payment_authorization,
BAD_REQUEST_PAYMENT_OTP_VALIDATION_ATTEMPT_LIMIT_EXCEEDED,Payment processing failed because OTP validation attempts limit exceeded,otp_attempts_exceeded,Business,customer,,payment_authentication,
BAD_REQUEST_PAYMENT_WALLET_BLOCKED_CUSTOMER,Customer has been blocked by wallet,debit_instrument_blocked,Business,customer,,payment_eligibility check,
BAD_REQUEST_PAYMENT_OTP_INCORRECT,Payment processing failed because of incorrect OTP,incorrect_otp,Business,customer,,payment_authentication,
BAD_REQUEST_PAYMENT_PENDING,Payment is pending authorization from the wallet.,payment_pending,Technical,issuer,,payment_authorization,
server_error_LOGICAL_ERROR,The server encountered an error. The incident has been reported to admins.,server_error,Technical,internal,,payment_initiation,
GATEWAY_ERROR_REQUEST_ERROR,Payment processing failed due to error at bank or wallet gateway,issuer_technical_error,Technical,issuer,,payment_authorization,
BAD_REQUEST_PAYMENT_CANCELLED_AT_LOGIN_SCREEN,Payment processing cancelled by customer at login screen,payment_cancelled,NA,customer,,payment_authentication,
BAD_REQUEST_PAYMENT_INVALID_EMAIL,Payment failed because of invalid email,invalid_email,Business,customer,,payment_authentication,
BAD_REQUEST_PAYMENT_VERIFICATION_FAILED,Payment verification failed,payment_failed,Technical,issuer,,payment_authorization,
server_error_INVALID_ARGUMENT,The server encountered an error. The incident has been reported to admins.,server_error,Technical,internal,,payment_initiation,
server_error,The server encountered an error. The incident has been reported to admins.,server_error,Technical,internal,,payment_initiation,
BAD_REQUEST_VALIDATION_FAILURE,Validation Failure,input_validation_failed,Technical,business,,payment_initiation,
BAD_REQUEST_PAYMENT_OTP_EXPIRED,Payment processing failed because of expired OTP,otp_expired,Business,customer,,payment_authentication,
server_error_AMOUNT_TAMPERED,The server encountered an error. The incident has been reported to admins.,server_error,Technical,internal,,payment_initiation,
GATEWAY_ERROR_INTERNAL_server_error,Payment processing failed due to error at bank or wallet gateway,issuer_technical_error,Technical,issuer,,payment_authorization,
BAD_REQUEST_PAYMENT_INVALID_MOBILE,Payment failed because of invalid mobile number,invalid_mobile_number,Business,customer,,payment_eligibility check,
GATEWAY_ERROR_CHECKSUM_MATCH_FAILED,Payment processing failed due to error at bank or wallet gateway,server_error,Technical,internal,,payment_initiation,
BAD_REQUEST_ERROR,Bad request,issuer_technical_error,Technical,issuer,,payment_initiation,
BAD_REQUEST_PAYMENT_BLOCKED_DUE_TO_FRAUD,Payment was blocked because of fraud,payment_risk_check_failed,Business,issuer,,payment_authorization,
GATEWAY_ERROR_OUTSTANDING_LIMIT_BREACHED,Payment processing failed due to error at bank or wallet gateway,transaction_limit_exceeded,Business,customer,,payment_authorization,
GATEWAY_ERROR_INVALID_PARAMETERS,Payment processing failed due to error at bank or wallet gateway,server_error,Business,internal,,payment_initiation,
GATEWAY_ERROR_INVALID_REQUEST_BODY,Payment processing failed due to error at bank or wallet gateway,server_error,Technical,internal,,payment_initiation,
GATEWAY_ERROR_USER_MERCHANT_LIMIT_BREACHED,Payment processing failed due to error at bank or wallet gateway,server_error,Technical,internal,,payment_authorization,
BAD_REQUEST_USER_NOT_FOUND,User not found with the given input,invalid_user_details,Business,customer,,payment_eligibility check,
GATEWAY_ERROR_PAYMENT_INVALID_AMOUNT,Payment processing failed due to error at bank or wallet gateway,server_error,Technical,internal,,payment_initiation,
BAD_REQUEST_PAYMENT_CARD_INSUFFICIENT_BALANCE,Payment processing failed due to insufficient balance,insufficient_funds,Business,customer,,payment_authorization,
BAD_REQUEST_PAYMENT_POSSIBLE_FRAUD,Payment declined because it didn't pass all risk checks,payment_risk_check_failed,Business,internal,,payment_initiation,
GATEWAY_ERROR_AUTHORIZATION_FAILED,Payment processing failed due to error at bank or wallet gateway,payment_failed,Business,issuer,,payment_authorization,
server_error_HASH_MISMATCH,The server encountered an error. The incident has been reported to admins.,server_error,Technical,internal,,payment_initiation,
BAD_REQUEST_VALIDATION_FAILURE,Failed checksum verification,server_error,Technical,internal,,payment_initiation,
GATEWAY_ERROR_PAYMENT_DUPLICATE_REQUEST,Payment processing failed due to error at bank or wallet gateway,server_error,Technical,internal,,payment_initiation,
GATEWAY_ERROR_PAYMENT_VERIFICATION_ERROR,Payment processing failed due to error at bank or wallet gateway,issuer_technical_error,,issuer,,payment_authorization,
