internal_error_code,error_description,reason,failure_type,source,next_best_action,step,recoverable
BAD_REQUEST_EMANDATE_CANCELLED_INACTIVE,Payment failed because emandate is cancelled or inactive,payment_mandate_not_active,,customer,,payment_authorization,
BAD_REQUEST_EMANDATE_REGISTRATION_ACTION_NEEDED,Customer should refer to the branch to enable the mandate,payment_mandate_not_active,,customer,,payment_authorization,
BAD_REQUEST_INVALID_TRANSACTION_AMOUNT,The amount does not match with the expected amount for the transaction. It might have been tampered.,server_error,,internal,,payment_authorization,
BAD_REQUEST_PAYMENT_ACCOUNT_MAX_LIMIT_EXCEEDED,Payment failed because account limit exceeded,transaction_limit_exceeded,,customer,,payment_authorization,
BAD_REQUEST_PAYMENT_ACCOUNT_WITHDRAWAL_FROZEN,Payment failed because account withdrawal are frozen,debit_instrument_blocked,,bank,,payment_authorization,
BAD_REQUEST_PAYMENT_CANCELLED_BY_CUSTOMER,Payment cancelled by customer,payment_cancelled,,customer,,payment_authorization,
BAD_REQUEST_PAYMENT_CANCELLED_BY_USER,Payment processing cancelled by user,payment_cancelled,,customer,,payment_authorization,
BAD_REQUEST_PAYMENT_INVALID_AMOUNT_OR_CURRENCY,Invalid amount or currency.,invalid_amount,,gateway,,payment_authorization,
BAD_REQUEST_PAYMENT_KYC_PENDING,Payment failed because account KYC pending,debit_instrument_blocked,,customer,,payment_authorization,
GATEWAY_ERROR_DEBIT_BEFORE_MANDATE_START,Debit request is before emandate start date,payment_mandate_not_active,,gateway,,payment_authorization,
GATEWAY_ERROR_DEBIT_FAILED,Payment failed. Please try again with another bank account.,payment_declined,,bank,,payment_authorization,
GATEWAY_ERROR_ISSUER_DOWN,Payment processing failed due to error at bank gateway,bank_technical_error,,bank,,payment_authorization,
GATEWAY_ERROR_REQUEST_ERROR,Invalid Payment Data,server_error,,internal,,payment_initiation,
BAD_REQUEST_PAYMENT_FAILED,Payment failed,payment_failed,,bank,,payment_authorization,
BAD_REQUEST_ACCOUNT_CLOSED,Bank Account is closed.,bank_account_invalid,,customer,,payment_authorization,
BAD_REQUEST_NO_DR_ALLOWED,Debit is not allowed on the bank account.,debit_instrument_blocked,,bank,,payment_authorization,
GATEWAY_ERROR_INVALID_RESPONSE,Payment processing failed due to error at bank or wallet gateway,gateway_technical_error,,gateway,,payment_authorization,
BAD_REQUEST_ACCOUNT_BLOCKED,Bank Account is blocked.,debit_instrument_blocked,,customer,,payment_authorization,
BAD_REQUEST_PAYMENT_TIMED_OUT,Payment was not completed on time.,payment_timed_out,,gateway,,payment_authorization,
GATEWAY_ERROR_MERCHANT_IP_NOT_WHITELISTED,Payment processing failed due to error at bank or wallet gateway,gateway_technical_error,,gateway,,payment_authorization,
BAD_REQUEST_GATEWAY_TOKEN_EMPTY,Invalid token has been passed for recurring payment,server_error,,internal,,payment_initiation,
GATEWAY_ERROR_FATAL_ERROR,Payment processing failed due to error at bank or wallet gateway,gateway_technical_error,,gateway,,payment_authorization,
BAD_REQUEST_EMANDATE_REGISTRATION_FAILED,E-mandate registration failed,payment_failed,,gateway,,payment_authentication,
BAD_REQUEST_PAYMENT_INVALID_ACCOUNT,Payment failed because of invalid account,bank_account_invalid,,customer,,payment_authorization,
BAD_REQUEST_PAYMENT_ACCOUNT_INSUFFICIENT_BALANCE,Account Balance is insufficient,insufficient_funds,,customer,,payment_authorization,
SERVER_ERROR_ASSERTION_ERROR,The server encountered an error. The incident has been reported to admins.,server_error,,internal,,payment_authorization,
BAD_REQUEST_AUTHENTICATION_FAILED,Authentication failed,authentication_failed,,customer,,payment_authentication,
BAD_REQUEST_PAYMENT_CANCELLED_AT_EMANDATE_REGISTRATION,E-Mandate registration cancelled by the customer,payment_cancelled,,customer,,payment_authentication,
BAD_REQUEST_NETBANKING_USER_NOT_REGISTERED,User is not registered for NetBanking payments.,user_not_registered_for_netbanking,,customer,,payment_authentication,
BAD_REQUEST_INVALID_USER_CREDENTIALS,Payment failed due to invalid user credentials,authentication_failed,,customer,,payment_authentication,
GATEWAY_ERROR_PAYMENT_VERIFICATION_ERROR,Payment processing failed due to error at bank or wallet gateway,server_error,,internal,,payment_initiation,
